代码,名称,净占比,今日涨跌,净占比,5日涨跌,净占比,10日涨跌,所属板块
000837,秦川机床,46.61%,10.07%,6.91%,6.18%,1.53%,7.32%,机械行业
002169,智光电气,8.11%,10.06%,8.93%,23.18%,6.27%,17.72%,输配电气
300643,万通智控,38.39%,10.05%,11.77%,7.11%,4.70%,4.33%,汽车行业
300339,润和软件,26.92%,10.03%,5.68%,4.31%,2.40%,5.16%,软件服务
603826,坤彩科技,27.62%,10.03%,4.17%,-13.88%,2.19%,-11.61%,材料行业
002848,高斯贝尔,9.28%,10.03%,7.26%,24.16%,4.45%,35.94%,通讯行业
600793,宜宾纸业,30.52%,10.03%,7.90%,12.00%,3.30%,7.62%,造纸印刷
300107,建新股份,0.45%,10.03%,2.12%,29.65%,0.55%,33.53%,化工行业
300522,世名科技,18.21%,10.02%,7.62%,5.94%,2.94%,6.83%,化工行业
600199,金种子酒,21.65%,10.02%,10.07%,12.52%,7.14%,8.98%,酿酒行业
300348,长亮科技,12.37%,10.01%,4.80%,26.13%,4.04%,-,软件服务
300151,昌红科技,37.10%,10.01%,14.70%,12.76%,7.37%,6.69%,塑胶制品
603348,文灿股份,93.84%,10.01%,75.95%,61.13%,75.47%,-,汽车行业
603011,合锻智能,34.63%,10.01%,17.58%,7.09%,7.75%,9.30%,机械行业
300010,立思辰,19.54%,10.01%,3.80%,8.18%,1.30%,8.33%,软件服务
603026,石大胜华,18.95%,10.01%,11.37%,25.63%,8.75%,27.94%,化工行业
300534,陇神戎发,39.35%,10.01%,7.19%,20.32%,4.52%,19.78%,医药制造
300365,恒华科技,16.98%,10.01%,5.56%,10.01%,1.95%,6.15%,软件服务
603901,永创智能,45.06%,10.01%,18.34%,12.52%,9.32%,7.75%,专用设备
600600,青岛啤酒,11.41%,10.01%,3.94%,15.47%,0.26%,10.06%,酿酒行业
000673,当代东方,0.24%,10.01%,8.46%,26.42%,7.07%,24.74%,文化传媒
603335,迪生力,50.32%,10.01%,4.55%,1.54%,0.58%,-4.35%,汽车行业
300743,天地数码,100.00%,10.01%,88.19%,-,88.19%,-,电子信息
600329,中新药业,5.60%,10.00%,1.53%,34.62%,1.29%,33.98%,医药制造
300670,大烨智能,21.18%,10.00%,7.27%,9.32%,3.41%,13.77%,输配电气
000860,顺鑫农业,10.36%,10.00%,3.65%,18.27%,2.39%,14.22%,酿酒行业
603369,今世缘,13.95%,10.00%,-0.89%,23.19%,-2.04%,15.09%,酿酒行业
600884,杉杉股份,26.55%,10.00%,11.27%,9.81%,5.67%,7.70%,电子元件
300635,达安股份,36.02%,10.00%,8.83%,10.00%,3.85%,11.98%,工程建设
000538,云南白药,17.71%,10.00%,9.91%,14.87%,7.67%,15.87%,医药制造
300298,三诺生物,17.50%,10.00%,5.89%,16.36%,3.33%,20.83%,医疗行业
002496,辉丰股份,22.65%,10.00%,7.32%,8.60%,-1.60%,-12.79%,农药兽药
600810,神马股份,16.47%,10.00%,3.55%,20.49%,2.58%,23.62%,化纤行业
300515,三德科技,19.01%,10.00%,12.43%,19.37%,7.81%,22.45%,仪器仪表
300630,普利制药,6.03%,10.00%,2.79%,19.71%,4.74%,34.22%,医药制造
603214,爱婴室,13.22%,10.00%,0.04%,12.41%,-0.49%,7.00%,商业百货
300624,万兴科技,15.35%,10.00%,-0.46%,10.71%,-0.56%,1.86%,软件服务
002927,泰永长征,22.06%,10.00%,4.16%,-0.53%,1.02%,-6.88%,输配电气
002881,美格智能,10.88%,10.00%,4.11%,21.34%,2.61%,27.66%,塑胶制品
002871,伟隆股份,10.44%,9.99%,3.31%,12.45%,-0.10%,12.93%,机械行业
603596,伯特利,98.17%,9.99%,73.95%,-,73.95%,-,汽车行业
300350,华鹏飞,23.37%,9.99%,5.91%,2.48%,2.81%,9.55%,交运物流
603895,天永智能,21.39%,9.99%,4.02%,5.97%,0.03%,-1.42%,专用设备
300486,东杰智能,46.48%,9.99%,24.83%,10.25%,12.58%,6.95%,专用设备
300528,幸福蓝海,46.31%,9.99%,17.91%,8.30%,8.61%,4.37%,文化传媒
300519,新光药业,10.21%,9.99%,3.10%,52.82%,2.79%,39.43%,医药制造
002806,华锋股份,3.33%,9.99%,0.66%,-,2.19%,74.76%,电子元件
603928,兴业股份,24.39%,9.99%,12.27%,12.54%,8.48%,12.93%,化工行业
002849,威星智能,19.31%,9.99%,7.88%,12.36%,3.52%,13.56%,仪器仪表
603656,泰禾光电,15.44%,9.99%,3.84%,5.39%,1.79%,10.80%,机械行业
软件服务:5,医药制造:5,机械行业:4,汽车行业:4,化工行业:4,酿酒行业:4,输配电气:3,专用设备:3,塑胶制品:2
文化传媒:2,电子元件:2,仪器仪表:2,材料行业:1,通讯行业:1,造纸印刷:1,电子信息:1,工程建设:1,医疗行业:1
农药兽药:1,化纤行业:1,商业百货:1,交运物流:1
